Track,Artist,Album,Duration,Explicit
United States Of Eurasia / Collateral Damage,Muse,The Resistance,05:47,False
The Universe Sent Me,The Chemical Brothers,No Geography,06:03,False
Use Somebody,Kings Of Leon,Only By The Night,03:50,False
Valerie,The Zutons,Tired of Hanging Around,03:56,False
Verses from the Abstract,A Tribe Called Quest,The Low End Theory,03:58,False
Vertigo (feat. Alex Turner),Mini Mansions,Vertigo - Single,04:57,False
Vessel In Vain,Smog,Dead Man's Shoes: The Soundtrack,04:18,False
Vibes and Stuff,A Tribe Called Quest,The Low End Theory,04:17,False
Video Games,Lana Del Rey,Video Games - EP,04:46,False
Video Killed the Radio Star,The Buggles,The Age of Plastic,04:12,False
Videotape,Radiohead,In Rainbows,04:39,False
Viðrar Vel Til Loftárása,Sigur Rós,Ágætis Byrjun,10:17,False
Vienna,Billy Joel,The Stranger,03:33,False
The View From The Afternoon,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,03:38,False
Vincent,Don Mclean,American Pie (Bonus Tracks Version),03:59,False
Viva la Vida,Coldplay,Viva la Vida or Death and All His Friends,04:01,False
Voices In My Head (feat. A$AP Ferg),SBTRKT,Wonder Where We Land,04:48,True
Voids Two,Martyn,Voids,05:58,False
Voulez-Vous,ABBA,Gold: Greatest Hits,05:08,False
Waiting for My Chance to Come,Noah & The Whale,Last Night On Earth,02:55,False
Wake Me Up When September Ends,Green Day,American Idiot (Deluxe Version),04:45,False
Walk On the Wild Side,Lou Reed,The Very Best of Lou Reed,04:12,False
Waltz #2 (XO),Elliott Smith,Xo,04:40,False
Wandering Star,Portishead,Dummy,04:53,False
Wash Your Face in my Sink,Dream Warriors,And Now the Legacy Begins,03:44,False
Wasn't Looking,ELIZA,Wasn't Looking - Single,03:56,False
The Watcher,Dr. Dre,2001,03:26,True
Waterloo Sunset,The Kinks,The Ultimate Collection,03:18,False
Waterloo Sunset (Stereo Mix),The Kinks,Something Else (Deluxe Edition),03:17,False
Watermelon Man,Mungo Santamaria,Out of Sight -- Music from the Motion Picture,03:09,False
Waterworld (feat. Encore),Handsome Boy Modeling School,So...How's Your Girl?,05:22,False
way it goes,Hippo Campus,landmark,04:05,True
The Way You Move (feat. Sleepy Brown) [Club Mix],Outkast,Speakerboxxx/The Love Below,03:54,True
We Are Golden,MIKA,We Are Golden - Single,03:57,False
We Are Never Ever Getting Back Together,Taylor Swift,Red,03:12,False
We Are the Champions,Queen,News of the World,02:59,False
We Are Young (feat. Janelle Monáe),Fun.,We Are Young,04:10,False
We Built This City,Starship,Knee Deep in the Hoopla,04:56,False
We Rule the School,Belle and Sebastian,Tigermilk,03:27,False
We Trying to Stay Alive (feat. Refugee Allstars),Wyclef Jean,Wyclef Jean Presents the Carnival featuring Refugee Allstars,03:11,False
We Will Rock You,Queen,Greatest Hits I  II & III,02:02,False
We've Got to Try,The Chemical Brothers,No Geography,03:35,False
Weapon of Choice,Fatboy Slim,Skint 15,03:40,False
Weird Fishes / Arpeggi,Radiohead,In Rainbows,05:18,False
Welcome to the Black Parade,My Chemical Romance,The Black Parade,05:11,False
Wet Dreamz,J. Cole,2014 Forest Hills Drive,03:59,True
What Does Your Soul Look Like  Pt. 1 (Prince Paul Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),03:40,False
What Does Your Soul Look Like  Pt. 4 (Teklife Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),04:26,False
What Ever Happened?,The Strokes,Room On Fire,02:54,False
What If I Go? (feat. Bonzai),Mura Masa,Mura Masa,03:15,False
What Katie Did,The Libertines,Time for Heroes - The Best of The Libertines,03:49,True
What Moves,LA Priest,GENE,03:49,False
What You Know,Two Door Cinema Club,Tourist History,03:09,False
What?,A Tribe Called Quest,The Low End Theory,02:28,False
What's the Difference,Dr. Dre,2001,04:04,True
What's the Use?,Mac Miller,Swimming,04:48,True
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,03:33,False
When I'm Gone,Eminem,Curtain Call,04:41,True
When She Loved Me (From "Toy Story 2"),Sarah McLachlan,Disney Classics,03:03,False
When The Sun Goes Down,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,03:20,False
When We Fall,Beak>,>>>,05:31,False
When We First Kissed,Hellogoodbye,Would It Kill You? (Uk/Europe Deluxe Edition),03:15,False
When We First Met,Hellogoodbye,Would It Kill You? (Uk/Europe Deluxe Edition),02:34,False
When You're Smiling And Astride Me,Father John Misty,I Love You  Honeybear,04:34,False
Where Is My Mind?,Pixies,Wave of Mutilation: Best of Pixies,03:49,False
Where It's At,Beck,Odelay,05:30,False
Whistle for the Choir,The Fratellis,Costello Music,03:35,False
White Crosses,Against Me!,White Crosses / Black Crosses,03:36,False
White Lines (Long Version) (Re-Recorded / Remastered),Grandmaster Flash,White Lines,07:45,False
Who Am I (What's My Name)?,Snoop Dogg,Doggystyle,04:06,True
Who By Fire,Leonard Cohen,New Skin for the Old Ceremony,02:37,False
Who R U?,Anderson .Paak,Oxnard,02:48,False
Who The Fuck Are Arctic Monkeys?,Arctic Monkeys,Who The Fuck Are Arctic Monkeys? [EP],05:36,False
Who Wants To Live Forever,Queen,A Kind Of Magic,05:17,False
Why Are Sundays So Depressing,The Strokes,The New Abnormal,04:35,False
Why Can't We Be Friends,War,Why Can't We Be Friends?,03:50,False
Why Don't You Try,Leonard Cohen,New Skin for the Old Ceremony,03:54,False
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,02:41,False
Wild Thing,Noah & The Whale,Last Night On Earth,04:48,False
Wildflower,Beach House,Depression Cherry,03:39,False
Will You Still Love Me Tomorrow,The Shirelles,20 Greatest Hits,02:41,False
Wish I Didn't Miss You,Angie Stone,Mahogany Soul,04:30,False
wish you were gay,Billie Eilish,WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?,03:41,False
Without Me,Eminem,Curtain Call,04:51,True
Woman,Karen O & Danger Mouse,Lux Prima,02:54,False
Wonder Where We Land (feat. Sampha),SBTRKT,Wonder Where We Land,02:45,True
Woo Hah!! Got You All In Check,Busta Rhymes,The Coming,04:31,True
Work Out,J. Cole,Cole World: The Sideline Story,03:53,True
The World's First Ever Monster Truck Front Flip,Arctic Monkeys,Tranquility Base Hotel & Casino,03:00,True
Wraith Pinned to the Mist and Other Games,of Montreal,The Sunlandic Twins,04:15,False
Xxplosive,Dr. Dre,2001,03:35,True
Yellow Submarine,The Beatles,1,02:38,False
Yes Sir  I Can Boogie,Baccara,Best of Baccara,04:35,False
Yesterday,Noname,Telefone,03:09,True
Yesterday,The Beatles,1,02:05,False
Yoda,"Weird Al" Yankovic,Dare to Be Stupid,03:58,False
Yoshimi Battles the Pink Robots  Pt. 1,The Flaming Lips,Yoshimi Battles the Pink Robots,04:45,False
You Belong With Me,Taylor Swift,Fearless,03:51,False
You Don't Love Me (No  No  No) [Extended Mix],Dawn Penn,No  No  No,04:37,False
You Make Loving Fun,Fleetwood Mac,Rumours,03:33,False
You Make Me,Avicii,True,03:53,False
You Make My Dreams (Come True) [Remastered],Daryl Hall & John Oates,Daryl Hall & John Oates - Original Album Classics,03:10,False
You Only Live Once,The Strokes,First Impressions of Earth,03:09,False
You Probably Couldn't See For The Lights...,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:10,False
You Really Got Me,The Kinks,The Ultimate Collection,02:14,False
You Really Got Me (Live at the Playhouse Theatre  1964),The Kinks,BBC Sessions: 1964-1977,02:08,False
You Took the Words Right Out of My Mouth (Hot Summer Night),Meat Loaf,Bat Out of Hell,05:04,False
You Won't Find Me On Benefits Street,The Young'uns,Another Man's Ground,01:47,False
You're My Best Friend,Queen,Greatest Hits,02:52,False
You're Nobody 'Til Somebody Loves You,Dean Martin,This Time I'm Swingin'! (Remastered),02:13,False
You're So Vain,Carly Simon,The Best of Carly Simon,04:18,False
You're the One That I Want (From “Grease” Soundtrack),John Travolta & Olivia Newton-John,Grease (The Original Soundtrack From the Motion Picture),02:48,False
Young Adult Friction,The Pains of Being Pure At Heart,The Pains of Being Pure at Heart,04:03,False
Young at Heart,The Bluebells,The Singles Collection,03:24,False
Young Dumb & Broke,Khalid,American Teen,03:22,False
Young Folks,Peter Bjorn and John,Writer's Block,04:36,False
Your Deep Rest,The Hotelier,Home  Like Noplace Is There,03:47,False
Your Mother Should Know,The Beatles,Magical Mystery Tour,02:28,False
Your Song,Elton John,Rocket Man: The Definitive Hits,04:00,False
Zak and Sara,Ben Folds,Rockin' the Suburbs,03:11,False
Zealots,Fugees,The Score,04:20,True
Zombie,Jamie T,Zombie - Single,04:06,False
Zuruine,chelmico,EP,03:49,False
(Still A) Weirdo,KT Tunstall,Tiger Suit,03:40,False
(Theme From) The Monkees,The Monkees,Greatest Hits,02:22,False
(What A) Wonderful World,Sam Cooke,The Best of Sam Cooke,02:09,False
(You're The) Devil In Disguise,Elvis Presley,Elv1s: 30 #1 Hits,02:20,False
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,Higher and Higher,02:59,False
$Even,Yeek & Bakar,Sebastian,03:36,True
2 Atoms In A Molecule,Noah & The Whale,Peaceful  The World Lays Me Down,02:04,False
3 Nights,Dominic Fike,Don't Forget About Me  Demos - EP,02:57,False
3WW,alt-J,RELAXER,05:00,False
5 dollars,Christine and the Queens,Chris,03:28,False
5 Years Time,Noah & The Whale,Peaceful  The World Lays Me Down,03:35,False
5/4,Gorillaz,Gorillaz,02:42,False
6 Summers,Anderson .Paak,Oxnard,04:42,False
7,Catfish and the Bottlemen,The Ride,04:16,False
10 / 10,Paolo Nutini,Sunny Side Up,02:56,False
10:37,Beach House,Depression Cherry,03:48,False
10/10,Rex Orange County,Pony,02:26,True
12: 03: 00,Against Me!,Shape Shift with Me,02:56,True
17,MK,17 - Single,03:16,False
19-2000,Gorillaz,Gorillaz,03:27,False
21st Century Schizoid Man (Live),King Crimson,Radical Action to Unseat the Hold of Monkey Mind (Live),10:57,False
22,Taylor Swift,Red,03:52,False
30 Minute Love Affair,Paloma Faith,Fall to Grace,03:19,False
40 Day Dream (Remastered),Edward Sharpe & The Magnetic Zeros,Up From Below (Remastered),03:52,False
50 Ways to Leave Your Lover,Paul Simon,The Essential Paul Simon,03:37,False
99 Red Balloons,Nena,99 Luftballons,03:50,False
212 (feat. Lazy Jay),Azealia Banks,1991 - EP,03:23,True
333,Against Me!,Shape Shift with Me,03:17,True
505,Arctic Monkeys,Favourite Worst Nightmare,04:13,False
900 Degrees,Ian Pooley,Since Then. 2017,06:09,False
911 / Mr. Lonely (feat. Frank Ocean and Steve Lacy),Tyler  The Creator,Flower Boy,04:15,True
1983... (A Merman I Should Turn to Be),The Jimi Hendrix Experience,Electric Ladyland,13:39,False
3005,Childish Gambino,Because the Internet,03:54,True
